date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,190,Put,4.15,4.35,0.2098,-0.3926,0.0266,-0.0475,0.2707,-0.0899
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,195,Call,5.1,5.25,0.2055,0.4794,0.0276,-0.072,0.2824,0.1143
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,195,Put,6.3,6.85,0.2057,-0.5316,0.0287,-0.0455,0.2804,-0.1123
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,200,Call,3,3.1,0.1972,0.3416,0.0265,-0.0615,0.2574,0.0837
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,200,Put,8.85,9.55,0.1854,-0.6926,0.0304,-0.0319,0.2482,-0.12
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,205,Call,1.56,1.72,0.1914,0.2194,0.0219,-0.0466,0.2082,0.0544
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,205,Put,12.65,13.2,0.1754,-0.8488,0.0274,-0.0167,0.1667,-0.093
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,210,Call,0.79,0.87,0.1889,0.1285,0.0157,-0.032,0.1478,0.032
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,210,Put,16.9,17.95,0.1889,-0.9304,0.021,-0.0089,0.0955,-0.0554
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,215,Call,0.41,0.44,0.1912,0.0728,0.0102,-0.021,0.0974,0.0182
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,215,Put,21.8,23.05,0.1912,-0.9996,0.0044,0,0.0021,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,220,Call,0.22,0.24,0.1969,0.0418,0.0064,-0.0138,0.063,0.0104
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,220,Put,26.8,28.05,0.1969,-1,0,0,0,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,225,Call,0.12,0.14,0.2041,0.0246,0.004,-0.0091,0.0406,0.0061
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-02-16 00:00:00 +0000 UTC,225,Put,31.8,33.05,0.2041,-1,0,0,0,-0.0002
